houseguid,mun_obr,lat,lon,exploitation_start_year,total_ppl,total_flats_count,vacant_flats_count,vacant_flats_share
0512a908-c8f8-4df1-9e9c-ec1ba07ad27b,Таганский район,55.736153200000004,37.67177705249036,1948.0,232,101,2.0,0.019801980198019802
054cbd53-68ea-4c6a-adb0-334582883dfd,район Свиблово,55.8496574,37.643475189491895,1966.0,158,84,6.0,0.07142857142857142
054fc833-280a-4e07-81f1-b9149da79f4f,Хорошёвский район,55.7766313,37.551660053651474,1977.0,220,111,17.0,0.15315315315315314
0550c37e-4dc9-49a0-824a-33f1c777b730,район Богородское,55.8206767,37.71461685,1974.0,226,98,5.0,0.05102040816326531
05536352-5807-47ad-99b4-ae9c11910cb5,Мещанский район,55.765101,37.620805075663,1891.0,47,29,10.0,0.3448275862068966
056473be-51c8-4692-9ae5-836177c61e9e,Мещанский район,55.79115195,37.63150978743799,1967.0,160,109,28.0,0.25688073394495414
056ca0d5-4866-4474-af47-651bb1579b13,Басманный район,55.76433675,37.64184796113973,1964.0,136,71,14.0,0.19718309859154928
0575c1bd-eec9-4fef-a958-d385fb1309ca,Басманный район,55.75479655,37.65113979423084,1975.0,116,63,15.0,0.23809523809523808
05799793-f017-4ca5-b365-363f41c7ef46,поселение Воскресенское,55.5241975,37.50990724988493,2013.0,428,369,193.0,0.5230352303523035
057ad142-281f-4fbb-a734-d29d00e0faf5,район Аэропорт,55.8022808,37.5337207762925,1957.0,72,138,110.0,0.7971014492753623
05820eca-b181-482b-b684-8af51cd96eb7,поселение Филимонковское,55.5319217,37.2378563,2013.0,34,16,2.0,0.125
0589f68d-7172-4029-9371-49619cfebecc,район Черёмушки,55.6791168,37.557561833558324,2011.0,247,131,34.0,0.2595419847328244
0597819e-cf75-41ff-8f88-f72f1c7048be,район Чертаново Центральное,55.6128603,37.579056292409696,2011.0,618,272,9.0,0.03308823529411765
059b9b0d-17a2-403c-b113-6ccf96d9d84b,район Коньково,55.65419945,37.52274874849801,1967.0,321,144,11.0,0.0763888888888889
05a11a0b-2903-453d-85d9-d9a6c1a0cfe0,район Ивановское,55.774169400000005,37.828164256238495,2003.0,419,160,4.0,0.025
05b3e3b2-6a9a-4829-8abc-9bb695308c72,район Хамовники,55.72647815,37.58215709646976,1960.0,247,140,7.0,0.05
05b77a0f-3743-4603-9a7d-9ccad424febc,Обручевский район,55.6482563,37.49592090055935,2002.0,492,205,27.0,0.13170731707317074
05c0b8e4-2092-46f2-adf7-42cc97a43b07,Басманный район,55.7617266,37.656558410131076,1913.0,50,22,1.0,0.045454545454545456
05c116fc-f9fd-4aad-bbce-205a9f7be11d,Тимирязевский район,55.8112023,37.57166639128596,1963.0,134,60,4.0,0.06666666666666667
05cc7dfd-85b5-4401-a40e-59e37ff178b2,район Марьино,55.659369749999996,37.771755658451696,2002.0,338,184,18.0,0.09782608695652174
05d158eb-47e4-4520-98f5-75b8cf76c4af,район Северное Измайлово,55.80628945,37.785236224401764,1964.0,110,72,11.0,0.1527777777777778
05dd4f60-270e-4a53-b53b-724da214a7fa,район Фили-Давыдково,55.7334494,37.46955506206666,2007.0,553,304,71.0,0.23355263157894737
05e8c626-8fca-4f2a-a576-ab4cbe0e2911,район Хорошёво-Мнёвники,55.77869565,37.500795444041614,1960.0,125,60,5.0,0.08333333333333333
05eb9a87-5326-4b7b-946e-816fc9f8d2d8,район Новогиреево,55.75687345,37.82604677424875,1995.0,402,198,29.0,0.14646464646464646
05f7683b-723c-4db0-b37b-34279091b770,Бутырский район,55.8144303,37.592397425973346,1996.0,173,103,27.0,0.2621359223300971
05fe6cb0-b48a-42a3-9cfa-be4218e365cf,район Выхино-Жулебино,55.6917734,37.8557595,1995.0,627,256,15.0,0.05859375
0606ae32-65a8-4d87-a6a9-2a32dbe5f14d,район Преображенское,55.8049441,37.7210099,1970.0,188,107,8.0,0.07476635514018691
061243d5-e1d9-4a56-a95f-6d8a78bc2550,район Хорошёво-Мнёвники,55.7866922,37.45810470515812,2001.0,281,151,57.0,0.37748344370860926
